fetched_at,block,period_label,period_date,metric,value,unit,source,raw_ref
2026-09-22T01:19:06Z,anual,2026 (hasta el día 19 de septiembre),,exportacion,25,GWh,cenace:InformacionOperativa,cenace_operativa/2026/09/InformacionOperativa.2026-09-22T011906Z.ndjson#InformacionOperativa:2026-09-22T01:19:06Z
2026-09-22T01:19:06Z,anual,2026 (hasta el día 19 de septiembre),,hidraulica,20866,GWh,cenace:InformacionOperativa,cenace_operativa/2026/09/InformacionOperativa.2026-09-22T011906Z.ndjson#InformacionOperativa:2026-09-22T01:19:06Z
2026-09-22T01:19:06Z,anual,2026 (hasta el día 19 de septiembre),,importacion,276,GWh,cenace:InformacionOperativa,cenace_operativa/2026/09/InformacionOperativa.2026-09-22T011906Z.ndjson#InformacionOperativa:2026-09-22T01:19:06Z
2026-09-22T01:19:06Z,anual,2026 (hasta el día 19 de septiembre),,produccion_total,26943,GWh,cenace:InformacionOperativa,cenace_operativa/2026/09/InformacionOperativa.2026-09-22T011906Z.ndjson#InformacionOperativa:2026-09-22T01:19:06Z
2026-09-22T01:19:06Z,anual,2026 (hasta el día 19 de septiembre),,renovable_no_convencional,307,GWh,cenace:InformacionOperativa,cenace_operativa/2026/09/InformacionOperativa.2026-09-22T011906Z.ndjson#InformacionOperativa:2026-09-22T01:19:06Z
2026-09-22T01:19:06Z,anual,2026 (hasta el día 19 de septiembre),,termica,5494,GWh,cenace:InformacionOperativa,cenace_operativa/2026/09/InformacionOperativa.2026-09-22T011906Z.ndjson#InformacionOperativa:2026-09-22T01:19:06Z
2026-09-22T01:19:06Z,demanda,"Lunes, 21 de septiembre de 2026",2026-09-21,demanda_anterior,5026,MW,cenace:InformacionOperativa,cenace_operativa/2026/09/InformacionOperativa.2026-09-22T011906Z.ndjson#InformacionOperativa:2026-09-22T01:19:06Z
2026-09-22T01:19:06Z,demanda,"Lunes, 21 de septiembre de 2026",2026-09-21,demanda_cnel,3563,MW,cenace:InformacionOperativa,cenace_operativa/2026/09/InformacionOperativa.2026-09-22T011906Z.ndjson#InformacionOperativa:2026-09-22T01:19:06Z
2026-09-22T01:19:06Z,demanda,"Lunes, 21 de septiembre de 2026",2026-09-21,demanda_empresas_electricas,1456,MW,cenace:InformacionOperativa,cenace_operativa/2026/09/InformacionOperativa.2026-09-22T011906Z.ndjson#InformacionOperativa:2026-09-22T01:19:06Z
2026-09-22T01:19:06Z,demanda,"Lunes, 21 de septiembre de 2026",2026-09-21,demanda_total,5020,MW,cenace:InformacionOperativa,cenace_operativa/2026/09/InformacionOperativa.2026-09-22T011906Z.ndjson#InformacionOperativa:2026-09-22T01:19:06Z
2026-09-22T01:19:06Z,demanda_empresas,"Lunes, 21 de septiembre de 2026",2026-09-21,cnel_el_oro,298,MW,cenace:InformacionOperativa,cenace_operativa/2026/09/InformacionOperativa.2026-09-22T011906Z.ndjson#InformacionOperativa:2026-09-22T01:19:06Z
2026-09-22T01:19:06Z,demanda_empresas,"Lunes, 21 de septiembre de 2026",2026-09-21,cnel_esmeraldas,128,MW,cenace:InformacionOperativa,cenace_operativa/2026/09/InformacionOperativa.2026-09-22T011906Z.ndjson#InformacionOperativa:2026-09-22T01:19:06Z
2026-09-22T01:19:06Z,demanda_empresas,"Lunes, 21 de septiembre de 2026",2026-09-21,cnel_guayaquil,1174,MW,cenace:InformacionOperativa,cenace_operativa/2026/09/InformacionOperativa.2026-09-22T011906Z.ndjson#InformacionOperativa:2026-09-22T01:19:06Z
2026-09-22T01:19:06Z,demanda_empresas,"Lunes, 21 de septiembre de 2026",2026-09-21,cnel_guayas_los_rios,679,MW,cenace:InformacionOperativa,cenace_operativa/2026/09/InformacionOperativa.2026-09-22T011906Z.ndjson#InformacionOperativa:2026-09-22T01:19:06Z
2026-09-22T01:19:06Z,demanda_empresas,"Lunes, 21 de septiembre de 2026",2026-09-21,cnel_los_bolivar,23,MW,cenace:InformacionOperativa,cenace_operativa/2026/09/InformacionOperativa.2026-09-22T011906Z.ndjson#InformacionOperativa:2026-09-22T01:19:06Z
2026-09-22T01:19:06Z,demanda_empresas,"Lunes, 21 de septiembre de 2026",2026-09-21,cnel_los_rios,118,MW,cenace:InformacionOperativa,cenace_operativa/2026/09/InformacionOperativa.2026-09-22T011906Z.ndjson#InformacionOperativa:2026-09-22T01:19:06Z
2026-09-22T01:19:06Z,demanda_empresas,"Lunes, 21 de septiembre de 2026",2026-09-21,cnel_manabi,451,MW,cenace:InformacionOperativa,cenace_operativa/2026/09/InformacionOperativa.2026-09-22T011906Z.ndjson#InformacionOperativa:2026-09-22T01:19:06Z
2026-09-22T01:19:06Z,demanda_empresas,"Lunes, 21 de septiembre de 2026",2026-09-21,cnel_milagro,260,MW,cenace:InformacionOperativa,cenace_operativa/2026/09/InformacionOperativa.2026-09-22T011906Z.ndjson#InformacionOperativa:2026-09-22T01:19:06Z
2026-09-22T01:19:06Z,demanda_empresas,"Lunes, 21 de septiembre de 2026",2026-09-21,cnel_santa_elena,114,MW,cenace:InformacionOperativa,cenace_operativa/2026/09/InformacionOperativa.2026-09-22T011906Z.ndjson#InformacionOperativa:2026-09-22T01:19:06Z
2026-09-22T01:19:06Z,demanda_empresas,"Lunes, 21 de septiembre de 2026",2026-09-21,cnel_santo_domingo,167,MW,cenace:InformacionOperativa,cenace_operativa/2026/09/InformacionOperativa.2026-09-22T011906Z.ndjson#InformacionOperativa:2026-09-22T01:19:06Z
2026-09-22T01:19:06Z,demanda_empresas,"Lunes, 21 de septiembre de 2026",2026-09-21,cnel_sucumbios,152,MW,cenace:InformacionOperativa,cenace_operativa/2026/09/InformacionOperativa.2026-09-22T011906Z.ndjson#InformacionOperativa:2026-09-22T01:19:06Z
2026-09-22T01:19:06Z,demanda_empresas,"Lunes, 21 de septiembre de 2026",2026-09-21,e_e_ambato,140,MW,cenace:InformacionOperativa,cenace_operativa/2026/09/InformacionOperativa.2026-09-22T011906Z.ndjson#InformacionOperativa:2026-09-22T01:19:06Z
2026-09-22T01:19:06Z,demanda_empresas,"Lunes, 21 de septiembre de 2026",2026-09-21,e_e_azogues,25,MW,cenace:InformacionOperativa,cenace_operativa/2026/09/InformacionOperativa.2026-09-22T011906Z.ndjson#InformacionOperativa:2026-09-22T01:19:06Z
2026-09-22T01:19:06Z,demanda_empresas,"Lunes, 21 de septiembre de 2026",2026-09-21,e_e_centro_sur,228,MW,cenace:InformacionOperativa,cenace_operativa/2026/09/InformacionOperativa.2026-09-22T011906Z.ndjson#InformacionOperativa:2026-09-22T01:19:06Z
2026-09-22T01:19:06Z,demanda_empresas,"Lunes, 21 de septiembre de 2026",2026-09-21,e_e_quito,656,MW,cenace:InformacionOperativa,cenace_operativa/2026/09/InformacionOperativa.2026-09-22T011906Z.ndjson#InformacionOperativa:2026-09-22T01:19:06Z
2026-09-22T01:19:06Z,demanda_empresas,"Lunes, 21 de septiembre de 2026",2026-09-21,e_e_regional_sur,102,MW,cenace:InformacionOperativa,cenace_operativa/2026/09/InformacionOperativa.2026-09-22T011906Z.ndjson#InformacionOperativa:2026-09-22T01:19:06Z
