run_id,origin_date,horizon_days,target_date,demand_gwh_day,hydro_gwh_day,requirement_gwh_day,requirement_p10,requirement_p90,deficit_gwh_day,deficit_p10,deficit_p90,stressed_deficit_gwh_day,margin_pct,tier
2026-09-20-adequacy-1-a7f87a2c,2026-09-20,14,2026-10-04,109.883,84.443,25.44,21.122,32.12,-12.302,-16.62,-5.622,-1.645,11.2,holgado
2026-09-20-adequacy-1-a7f87a2c,2026-09-20,30,2026-10-20,109.544,82.623,26.92,21.458,34.088,-10.822,-16.284,-3.654,-0.165,9.88,holgado
2026-09-20-adequacy-1-a7f87a2c,2026-09-20,60,2026-11-19,109.278,81.35,27.928,19.705,34.894,-9.814,-18.037,-2.848,0.843,8.98,holgado
2026-09-20-adequacy-1-a7f87a2c,2026-09-20,7,2026-09-27,110.375,85.172,25.203,22.231,32.012,-12.539,-15.511,-5.73,-1.882,11.36,holgado
2026-09-20-adequacy-1-a7f87a2c,2026-09-20,90,2026-12-19,109.85,82.057,27.793,19.1,33.471,-9.949,-18.642,-4.271,0.708,9.06,holgado
2026-09-21-adequacy-1-06a49241,2026-09-21,14,2026-10-05,109.74,84.223,25.516,21.198,32.196,-1.589,-5.907,5.091,-1.569,1.45,vigilancia
2026-09-21-adequacy-1-06a49241,2026-09-21,30,2026-10-21,109.53,82.477,27.052,21.59,34.22,-0.053,-5.515,7.115,-0.033,0.05,vigilancia
2026-09-21-adequacy-1-06a49241,2026-09-21,60,2026-11-20,109.207,81.305,27.902,19.679,34.868,0.797,-7.426,7.763,0.817,-0.73,ajustado
2026-09-21-adequacy-1-06a49241,2026-09-21,7,2026-09-28,110.247,84.974,25.273,22.301,32.083,-1.832,-4.804,4.978,-1.812,1.66,vigilancia
2026-09-21-adequacy-1-06a49241,2026-09-21,90,2026-12-20,109.572,81.965,27.607,18.913,33.284,0.502,-8.192,6.179,0.522,-0.46,ajustado
2026-09-21-adequacy-1-3a236765,2026-09-21,14,2026-10-05,109.74,84.223,25.516,21.198,32.196,-12.226,-16.544,-5.546,-1.569,11.14,holgado
2026-09-21-adequacy-1-3a236765,2026-09-21,30,2026-10-21,109.53,82.477,27.052,21.59,34.22,-10.69,-16.152,-3.522,-0.033,9.76,holgado
2026-09-21-adequacy-1-3a236765,2026-09-21,60,2026-11-20,109.207,81.305,27.902,19.679,34.868,-9.84,-18.063,-2.874,0.817,9.01,holgado
2026-09-21-adequacy-1-3a236765,2026-09-21,7,2026-09-28,110.247,84.974,25.273,22.301,32.083,-12.469,-15.441,-5.659,-1.812,11.31,holgado
2026-09-21-adequacy-1-3a236765,2026-09-21,90,2026-12-20,109.572,81.965,27.607,18.913,33.284,-10.135,-18.829,-4.458,0.522,9.25,holgado
2026-09-21-adequacy-2-3722ef6f,2026-09-21,14,2026-10-05,109.74,84.223,25.516,19.082,35.579,-1.589,-8.023,8.474,-1.569,1.45,vigilancia
2026-09-21-adequacy-2-3722ef6f,2026-09-21,30,2026-10-21,109.53,82.477,27.052,18.269,39.109,-0.053,-8.836,12.003,-0.033,0.05,vigilancia
2026-09-21-adequacy-2-3722ef6f,2026-09-21,60,2026-11-20,109.207,81.305,27.902,16.163,38.187,0.797,-10.942,11.082,0.817,-0.73,ajustado
2026-09-21-adequacy-2-3722ef6f,2026-09-21,7,2026-09-28,110.247,84.974,25.273,20.326,35.977,-1.832,-6.779,8.872,-1.812,1.66,vigilancia
2026-09-21-adequacy-2-3722ef6f,2026-09-21,90,2026-12-20,109.572,81.965,27.607,15.905,36.024,0.502,-11.2,8.919,0.522,-0.46,ajustado
